Name	RA	Dec	V	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
SA 29-251	09 47 21.715	+44 14 13.96	9.445	+0.349	-0.001	+0.219	+0.220	+0.443	15	7	0.0004	0.0006	0.0011	0.0004	0.0005	0.0007	
SA 29-406	09 47 24.345	+44 39 43.93	14.127	+1.239	+1.235	+0.765	+0.689	+1.447	5	3	0.0007	0.0030	0.0114	0.0036	0.0007	0.0040	
SA 29-407	09 47 24.351	+44 37 56.67	14.531	+0.524	-0.034	+0.325	+0.345	+0.654	5	3	0.0084	0.0029	0.0024	0.0048	0.0088	0.0092	
SA 29-408	09 47 25.926	+44 41 34.07	13.113	+0.484	-0.056	+0.304	+0.319	+0.624	3	2	0.0021	0.0027	0.0027	0.0014	0.0033	0.0027	
SA 29-409	09 47 30.510	+44 40 00.42	13.684	+0.510	+0.025	+0.306	+0.309	+0.616	3	2	0.0090	0.0058	0.0007	0.0033	0.0058	0.0033	
GD 300B	09 55 01.207	+51 39 58.80	12.773	+0.662	+0.158	+0.375	+0.367	+0.749	17	8	0.0010	0.0008	0.0019	0.0003	0.0007	0.0008	
GD 300	09 55 19.466	+51 36 59.03	12.662	-0.321	-1.231	-0.139	-0.175	-0.315	25	13	0.0022	0.0014	0.0020	0.0014	0.0027	0.0018	
GD 300A	09 55 34.484	+51 36 41.97	12.985	+0.681	+0.181	+0.392	+0.371	+0.763	19	9	0.0019	0.0009	0.0010	0.0008	0.0013	0.0021	
KUV 348-07	09 56 52.394	+41 15 22.10	15.546	+0.065	-0.901	+0.252	+0.560	+0.826	5	2	0.0007	0.0026	0.0051	0.0035	0.0040	0.0011	
KUV 348-07A	09 56 57.179	+41 16 49.89	13.992	+0.482	-0.163	+0.322	+0.327	+0.653	4	2	0.0012	0.0026	0.0047	0.0020	0.0042	0.0012	
KUV 348-07B	09 56 58.396	+41 13 03.63	14.545	+0.794	+0.346	+0.459	+0.433	+0.900	4	2	0.0007	0.0027	0.0076	0.0014	0.0038	0.0012	
KUV 348-13B	10 03 53.506	+40 32 01.93	14.697	+0.699	+0.118	+0.408	+0.441	+0.848	2	1	0.0028	0.0127	0.0156	0.0057	0.0071	0.0049	
KUV 348-13	10 03 54.276	+40 34 18.10	13.318	-0.330	-1.069	-0.147	-0.178	-0.313	4	2	0.0013	0.0024	0.0020	0.0013	0.0007	0.0031	
KUV 348-13A	10 04 06.316	+40 35 25.49	12.497	+0.646	+0.159	+0.364	+0.356	+0.720	2	1	0.0049	0.0021	0.0071	0.0042	0.0064	0.0014	
KUV 348-14A	10 05 06.918	+38 47 14.14	13.651	+0.515	-0.045	+0.306	+0.309	+0.615	3	1	0.0006	0.0017	0.0012	0.0046	0.0023	0.0052	
KUV 348-14	10 05 09.884	+38 46 15.14	14.336	-0.046	-0.223	-0.024	-0.032	-0.050	5	2	0.0028	0.0012	0.0013	0.0042	0.0022	0.0013	
KUV 348-14B	10 05 17.296	+38 47 35.05	14.425	+0.621	+0.075	+0.355	+0.366	+0.721	2	1	0.0071	0.0021	0.0042	0.0035	0.0078	0.0113	
KUV 348-14C	10 05 18.521	+38 48 11.44	15.141	+0.658	+0.118	+0.346	+0.367	+0.712	2	1	0.0071	0.0078	0.0057	0.0021	0.0120	0.0134	
GD 111A	10 05 45.210	+42 46 49.44	14.291	+0.723	+0.241	+0.409	+0.381	+0.792	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 111	10 05 48.965	+42 48 03.14	16.155	-0.099	-0.864	-0.029	-0.220	-0.241	2	1	0.0078	0.0311	0.0247	0.0049	0.0049	0.0099	
GD 111B	10 06 02.757	+42 45 43.10	13.149	+0.761	+0.289	+0.420	+0.417	+0.838	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 310	11 29 10.923	+38 08 51.64	15.009	-0.178	-1.002	-0.116	-0.139	-0.250	16	8	0.0010	0.0009	0.0009	0.0024	0.0090	0.0106	
PG1126+469B	11 29 14.264	+46 34 22.59	12.727	+0.584	+0.048	+0.328	+0.336	+0.668	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 310C	11 29 25.990	+38 06 12.01	13.911	+0.892	+0.668	+0.496	+0.426	+0.924	15	8	0.0017	0.0013	0.0033	0.0011	0.0022	0.0028	
PG1126+469	11 29 28.671	+46 35 31.75	14.574	-0.136	-0.686	-0.073	-0.081	-0.147	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 310A	11 29 29.898	+38 09 14,09	14.057	+0.540	-0.073	+0.341	+0.356	+0.698	15	8	0.0012	0.0015	0.0018	0.0016	0.0021	0.0025	
GD 310B	11 29 35.454	+38 08 12.60	14.200	+0.978	+0.832	+0.595	+0.541	+1.137	16	8	0.0013	0.0014	0.0052	0.0016	0.0027	0.0029	
PG1126+469A	11 29 36.579	+46 35 44.99	12.770	+0.639	+0.149	+0.365	+0.350	+0.720	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
KUV 352-09	11 36 24.386	+39 29 33.88	12.967	-0.146	-0.646	-0.065	-0.075	-0.154	7	3	0.0014	0.0038	0.0037	0.0026	0.0066	0.0014	
GD 314E	12 03 47.219	+60 32 08.59	15.014	+0.803	+0.406	+0.477	+0.436	+0.918	7	3	0.0014	0.0054	0.0021	0.0035	0.0028	0.0014	
GD 314C	12 04 01.598	+60 37 48.53	13.707	+0.529	-0.028	+0.328	+0.334	+0.659	8	4	0.0023	0.0029	0.0021	0.0017	0.0069	0.0064	
GD 314D	12 04 02.198	+60 34 57.98	14.538	+1.339	+1.202	+0.822	+0.740	+1.575	7	3	0.0014	0.0047	0.0035	0.0007	0.0007	0.0063	
GD 314	12 04 38.536	+60 32 08.08	13.568	-0.344	-1.250	-0.149	-0.179	-0.328	14	7	0.0009	0.0010	0.0011	0.0020	0.0025	0.0028	
GD 314A	12 05 04.878	+60 35 11.92	12.435	+0.854	+0.441	+0.479	+0.462	+0.942	13	7	0.0009	0.0015	0.0017	0.0010	0.0005	0.0005	
GD 314B	12 05 18.007	+60 36 47.89	10.831	+0.927	+0.659	+0.510	+0.468	+0.980	13	7	0.0006	0.0008	0.0009	0.0006	0.0005	0.0006	
PG1210+533B	12 13 18.722	+53 02 53.73	11.500	+0.648	+0.144	+0.372	+0.349	+0.723	3	2	0.0023	0.0023	0.0040	0.0017	0.0012	0.0012	
PG1210+533A	12 13 24.431	+53 02 27.15	14.461	+0.614	+0.051	+0.356	+0.359	+0.717	3	2	0.0035	0.0006	0.0023	0.0075	0.0081	0.0040	
PG1210+533	12 13 24.643	+53 03 57.27	14.135	-0.311	-1.205	-0.146	-0.196	-0.337	5	2	0.0031	0.0040	0.0031	0.0058	0.0072	0.0045	
SA 32-270	12 55 07.557	+44 23 14.09	12.516	+0.717	+0.234	+0.403	+0.395	+0.797	6	3	0.0030	0.0034	0.0044	0.0022	0.0022	0.0009	
SA 32-271	12 55 08.586	+44 23 13.45	11.209	+0.639	+0.121	+0.370	+0.353	+0.722	12	6	0.0006	0.0004	0.0027	0.0010	0.0014	0.0011	
SA 32-272	12 55 10.338	+44 17 28.83	8.961	+0.488	-0.106	+0.304	+0.308	+0.613	11	6	0.0020	0.0008	0.0033	0.0011	0.0016	0.0019	
SA 32-330	12 55 26.396	+44 33 35.57	10.068	+0.665	+0.190	+0.378	+0.342	+0.721	11	6	0.0013	0.0008	0.0019	0.0005	0.0007	0.0017	
SA 32-377	12 55 45.397	+44 40 38.60	10.630	+0.641	+0.101	+0.372	+0.358	+0.735	11	6	0.0006	0.0006	0.0007	0.0011	0.0008	0.0009	
SA 32-379	12 55 50.119	+44 42 22.67	11.174	+1.039	+0.874	+0.547	+0.495	+1.041	17	9	0.0008	0.0011	0.0018	0.0005	0.0006	0.0006	
SA 32-282	12 56 02.614	+44 26 49.25	10.152	+0.480	+0.030	+0.283	+0.280	+0.571	11	6	0.0006	0.0005	0.0007	0.0012	0.0016	0.0005	
SA 32-212	12 56 03.313	+44 15 28.14	9.317	+1.159	+1.131	+0.609	+0.546	+1.156	15	8	0.0010	0.0012	0.0025	0.0008	0.0005	0.0011	
SA 32-166	12 56 08.942	+44 00 55.03	16.316	+0.522	-0.165	+0.409	+0.337	+0.895	5	3	0.0175	0.0190	0.0242	0.0233	0.0111	0.0250	
SA 32-167	12 56 11.417	+44 00 32.42	13.510	+0.398	-0.032	+0.241	+0.241	+0.477	10	5	0.0006	0.0019	0.0007	0.0008	0.0027	0.0034	
SA 32-105	12 56 29.185	+43 54 07.17	13.372	+0.632	+0.138	+0.364	+0.341	+0.706	13	6	0.0016	0.0015	0.0051	0.0017	0.0013	0.0021	
SA 32-106	12 56 32.000	+43 56 45.10	13.266	+0.685	+0.135	+0.399	+0.394	+0.795	13	6	0.0021	0.0024	0.0057	0.0019	0.0012	0.0025	
SA 32-107	12 56 34.300	+43 54 33.99	13.673	+0.747	+0.312	+0.421	+0.399	+0.821	13	6	0.0024	0.0022	0.0040	0.0012	0.0013	0.0019	
SA 32-220	12 56 34.353	+44 15 02.31	13.094	+0.646	+0.098	+0.380	+0.363	+0.744	7	4	0.0005	0.0017	0.0035	0.0013	0.0009	0.0016	
SA 32-172	12 56 35.217	+44 02 25.52	14.469	+0.642	+0.063	+0.368	+0.371	+0.737	4	2	0.0015	0.0025	0.0090	0.0020	0.0065	0.0080	
SA 32-221	12 56 36.794	+44 14 59.60	11.429	+0.682	+0.235	+0.378	+0.345	+0.728	16	9	0.0005	0.0023	0.0032	0.0014	0.0005	0.0015	
SA 32-109	12 56 40.337	+43 56 33.74	11.891	+0.536	-0.043	+0.325	+0.329	+0.650	22	11	0.0011	0.0008	0.0011	0.0004	0.0009	0.0010	
SA 32-174	12 56 55.284	+44 05 00.64	12.433	+0.721	+0.169	+0.431	+0.415	+0.843	10	5	0.0007	0.0008	0.0006	0.0009	0.0006	0.0009	
SA 32-175	12 57 00.485	+44 05 02.78	13.544	+1.063	+0.977	+0.652	+0.546	+1.197	12	6	0.0013	0.0018	0.0077	0.0009	0.0019	0.0019	
GD 153	12 57 02.325	+22 01 52.66	13.349	-0.289	-1.177	-0.139	-0.180	-0.320	4	2	0.0040	0.0035	0.0050	0.0065	0.0085	0.0025	
SA 32-176	12 57 03.215	+44 00 33.80	10.212	+1.071	+0.984	+0.561	+0.501	+1.071	24	13	0.0013	0.0006	0.0012	0.0009	0.0004	0.0008	
SA 32-177	12 57 17.140	+44 01 00.49	11.377	+0.601	+0.015	+0.358	+0.346	+0.706	25	13	0.0007	0.0007	0.0016	0.0004	0.0009	0.0009	
SA 32-178	12 57 25.633	+44 02 02.82	11.313	+0.805	+0.463	+0.457	+0.421	+0.874	25	13	0.0007	0.0008	0.0010	0.0007	0.0006	0.0005	
SA 32-113	12 57 25.835	+43 56 32.95	10.834	+0.906	+0.639	+0.531	+0.461	+0.998	20	11	0.0022	0.0010	0.0018	0.0011	0.0004	0.0012	
SA 32-62	12 58 30.288	+43 43 19.21	9.788	+1.086	+0.938	+0.550	+0.514	+1.068	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 32-64	12 58 36.649	+43 43 35.26	11.831	+0.603	+0.017	+0.334	+0.344	+0.680	3	1	0.0012	0.0017	0.0035	0.0029	0.0006	0.0035	
PG1314+442A	13 16 31.974	+43 58 14.74	15.383	+0.707	+0.162	+0.410	+0.409	+0.818	5	3	0.0040	0.0058	0.0192	0.0067	0.0076	0.0094	
PG1314+442	13 16 33.109	+43 59 05.46	15.243	-0.135	-0.993	+0.021	+0.034	+0.053	5	3	0.0027	0.0107	0.0045	0.0018	0.0040	0.0040	
GD 325	13 36 01.794	+48 28 46.15	13.968	+0.032	-0.953	+0.234	+0.776	+1.005	9	4	0.0012	0.0040	0.0012	0.0031	0.0014	0.0013	
GD 325A	13 36 08.189	+48 28 57.62	14.094	+0.858	+0.510	+0.502	+0.467	+0.965	9	4	0.0028	0.0007	0.0021	0.0025	0.0028	0.0036	
GD 325B	13 36 27.776	+48 29 30.70	11.972	+0.675	+0.164	+0.404	+0.385	+0.784	8	4	0.0008	0.0022	0.0007	0.0011	0.0011	0.0012	
GD 325C	13 36 31.813	+48 30 17.74	12.977	+0.469	-0.012	+0.299	+0.297	+0.587	8	4	0.0012	0.0007	0.0013	0.0007	0.0013	0.0021	
PG1343+578	13 45 01.414	+57 30 12.84	13.809	+0.014	-0.590	+0.065	+0.059	+0.123	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
PG1343+578A	13 45 04.743	+57 32 11.27	13.878	+0.591	+0.081	+0.356	+0.339	+0.696	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 336B	14 31 46.324	+37 07 46.67	12.985	+0.646	+0.155	+0.368	+0.348	+0.716	15	8	0.0016	0.0012	0.0023	0.0010	0.0014	0.0013	
GD 336A	14 31 50.878	+37 05 17.40	13.424	+0.359	-0.054	+0.217	+0.218	+0.436	15	8	0.0028	0.0018	0.0024	0.0014	0.0023	0.0029	
GD 336	14 31 56.628	+37 06 30.07	15.283	-0.270	-1.149	-0.147	-0.215	-0.366	15	7	0.0031	0.0024	0.0024	0.0030	0.0102	0.0088	
GD 336C	14 32 03.469	+37 04 19.95	13.627	+0.562	+0.006	+0.328	+0.325	+0.655	15	8	0.0016	0.0019	0.0035	0.0013	0.0031	0.0029	
PG1430+427C	14 32 20.592	+42 30 24.07	11.421	+0.454	-0.109	+0.281	+0.281	+0.561	9	5	0.0013	0.0021	0.0007	0.0011	0.0017	0.0006	
PG1430+427	14 32 33.889	+42 30 19.07	14.218	-0.148	-0.669	-0.058	-0.067	-0.130	12	6	0.0012	0.0012	0.0018	0.0024	0.0014	0.0014	
PG1430+427A	14 32 39.438	+42 30 40.02	11.907	+0.759	+0.402	+0.419	+0.378	+0.794	9	5	0.0007	0.0025	0.0019	0.0012	0.0014	0.0013	
PG1430+427B	14 32 46.756	+42 32 19.21	12.039	+0.900	+0.664	+0.483	+0.428	+0.910	7	4	0.0034	0.0015	0.0042	0.0023	0.0008	0.0026	
SA 35-316	15 49 41.176	+44 35 23.77	9.953	+0.462	+0.061	+0.282	+0.279	+0.559	16	8	0.0012	0.0006	0.0006	0.0010	0.0009	0.0007	
SA 35-243	15 49 49.168	+44 27 53.56	12.011	+0.542	-0.016	+0.319	+0.319	+0.648	8	4	0.0005	0.0022	0.0006	0.0007	0.0011	0.0014	
SA 35-245	15 49 49.958	+44 31 19.49	7.686	+0.111	+0.101	+0.055	+0.046	+0.097	2	1	0.0021	0.0035	0.0014	0.0035	0.0014	0.0014	
SA 35-318	15 50 01.814	+44 33 04.74	11.807	+0.180	+0.124	+0.129	+0.159	+0.286	19	10	0.0012	0.0010	0.0006	0.0009	0.0004	0.0010	
SA 35-491	15 50 33.186	+44 58 06.22	11.539	+0.915	+0.663	+0.509	+0.457	+0.964	13	7	0.0010	0.0009	0.0039	0.0014	0.0009	0.0015	
SA 35-492	15 50 38.980	+45 00 37.36	9.829	+0.556	+0.013	+0.332	+0.329	+0.658	10	5	0.0008	0.0009	0.0011	0.0013	0.0020	0.0006	
SA 35-338	15 51 50.503	+44 41 51.75	9.605	+0.371	-0.015	+0.221	+0.225	+0.456	12	6	0.0012	0.0004	0.0011	0.0011	0.0017	0.0004	
SA 35-339	15 51 54.385	+44 32 29.14	12.775	+0.554	+0.028	+0.336	+0.329	+0.662	4	2	0.0020	0.0030	0.0044	0.0032	0.0007	0.0027	
SA 35-341	15 51 56.722	+44 33 24.64	12.565	+0.559	+0.007	+0.337	+0.330	+0.670	18	9	0.0022	0.0011	0.0021	0.0013	0.0009	0.0018	
SA 35-343	15 51 57.200	+44 35 26.22	10.870	+0.433	-0.063	+0.271	+0.254	+0.529	11	6	0.0007	0.0012	0.0013	0.0018	0.0005	0.0010	
SA 35-261	15 52 04.173	+44 24 58.31	12.126	+1.508	+1.898	+0.860	+0.884	+1.740	25	11	0.0009	0.0006	0.0031	0.0007	0.0006	0.0004	
SA 35-262	15 52 05.049	+44 26 00.66	12.835	+0.499	-0.032	+0.299	+0.307	+0.609	19	10	0.0006	0.0008	0.0006	0.0009	0.0014	0.0012	
SA 35-263	15 52 05.068	+44 30 01.39	13.552	+0.833	+0.503	+0.464	+0.423	+0.894	8	4	0.0018	0.0007	0.0037	0.0019	0.0007	0.0022	
SA 35-264	15 52 12.896	+44 28 30.81	13.775	+0.828	+0.499	+0.457	+0.401	+0.857	6	3	0.0045	0.0029	0.0086	0.0020	0.0029	0.0045	
SA 35-265	15 52 13.784	+44 28 55.85	16.039	+0.517	-0.091	+0.363	+0.341	+0.677	8	4	0.0046	0.0063	0.0041	0.0007	0.0091	0.0116	
SA 35-266	15 52 23.534	+44 30 23.32	12.913	+1.056	+0.979	+0.569	+0.506	+1.075	10	5	0.0007	0.0014	0.0007	0.0010	0.0017	0.0017	
SA 35-267	15 52 24.277	+44 26 00.06	16.093	+0.596	-0.008	+0.354	+0.345	+0.698	8	4	0.0021	0.0021	0.0076	0.0038	0.0117	0.0097	
SA 35-518	15 53 28.862	+44 57 30.75	9.258	+0.156	+0.107	+0.062	+0.086	+0.157	5	3	0.0013	0.0011	0.0011	0.0007	0.0019	0.0016	
SA 35-526	15 54 19.828	+44 55 06.78	9.024	+1.055	+1.002	+0.541	+0.496	+1.035	6	3	0.0011	0.0029	0.0050	0.0019	0.0008	0.0023	
SA 35-535	15 55 00.665	+44 59 20.41	9.120	+1.251	+1.413	+0.660	+0.581	+1.241	4	3	0.0025	0.0011	0.0038	0.0011	0.0006	0.0011	
SA 35-539	15 55 13.789	+44 58 15.44	12.920	+0.778	+0.420	+0.450	+0.407	+0.858	12	6	0.0010	0.0018	0.0013	0.0007	0.0012	0.0015	
KUV 433-03	16 38 26.317	+35 00 11.86	14.902	-0.255	-1.062	-0.111	-0.148	-0.255	7	3	0.0007	0.0007	0.0007	0.0018	0.0007	0.0027	
KUV 433-03A	16 38 27.812	+34 59 46.59	15.578	+1.223	+1.274	+0.741	+0.613	+1.356	5	2	0.0010	0.0073	0.0063	0.0018	0.0014	0.0006	
GD 358	16 47 18.358	+32 28 32.93	13.653	-0.123	-1.019	-0.099	-0.097	-0.199	13	6	0.0095	0.0036	0.0041	0.0040	0.0029	0.0060	
GD 358A	16 47 22.314	+32 25 31.30	13.496	+0.943	+0.747	+0.569	+0.485	+1.056	12	6	0.0022	0.0025	0.0022	0.0018	0.0011	0.0023	
GD 358B	16 47 23.224	+32 23 37.16	12.570	+0.677	+0.215	+0.378	+0.361	+0.735	11	6	0.0020	0.0010	0.0013	0.0016	0.0028	0.0025	
PG1648+536E	16 49 48.175	+53 31 30.23	15.152	+0.668	+0.172	+0.407	+0.326	+0.736	2	1	0.0007	0.0113	0.0071	0.0120	0.0184	0.0304	
PG1648+536A	16 49 57.450	+53 30 18.56	14.329	+0.744	+0.299	+0.415	+0.387	+0.799	13	6	0.0051	0.0025	0.0057	0.0032	0.0037	0.0054	
PG1648+536	16 49 59.853	+53 31 31.75	14.050	-0.215	-1.024	-0.090	-0.126	-0.214	13	6	0.0026	0.0014	0.0028	0.0025	0.0042	0.0034	
PG1648+536B	16 50 01.154	+53 29 14.64	14.047	+0.611	+0.052	+0.377	+0.372	+0.751	10	5	0.0007	0.0067	0.0042	0.0039	0.0026	0.0041	
PG1648+536C	16 50 07.599	+53 28 49.30	13.520	+0.957	+0.722	+0.549	+0.483	+1.031	10	5	0.0024	0.0007	0.0060	0.0007	0.0017	0.0013	
PG1648+536D	16 50 11.586	+53 26 59.73	12.246	+0.637	+0.103	+0.372	+0.361	+0.733	7	4	0.0026	0.0038	0.0064	0.0015	0.0019	0.0026	
GD 363C	17 38 26.523	+41 53 20.52	15.504	+0.590	+0.009	+0.346	+0.294	+0.641	14	7	0.0041	0.0028	0.0072	0.0055	0.0193	0.0241	
GD 363B	17 38 33.790	+41 53 30.66	15.058	+1.163	+1.075	+0.730	+0.635	+1.371	23	13	0.0022	0.0034	0.0218	0.0021	0.0034	0.0033	
GD 363A	17 38 35.039	+41 53 58.16	12.900	+1.013	+0.834	+0.542	+0.497	+1.040	21	12	0.0006	0.0011	0.0015	0.0010	0.0010	0.0021	
GD 363	17 38 35.667	+41 52 31.69	15.286	-0.108	-0.894	-0.126	-0.153	-0.272	21	12	0.0017	0.0017	0.0025	0.0022	0.0150	0.0122	
GD 363D	17 38 47.885	+41 54 09.16	13.804	+0.586	-0.011	+0.350	+0.357	+0.705	11	6	0.0014	0.0011	0.0031	0.0021	0.0042	0.0052	
GD 378A	18 23 30.902	+41 04 10.27	13.475	+0.617	+0.140	+0.348	+0.330	+0.682	16	8	0.0018	0.0017	0.0011	0.0010	0.0011	0.0011	
GD 378	18 23 37.012	+41 04 02.55	14.288	-0.080	-0.962	-0.036	-0.043	-0.091	17	8	0.0005	0.0009	0.0020	0.0017	0.0037	0.0032	
GD 378B	18 23 45.477	+41 05 47.88	13.393	+0.690	+0.156	+0.409	+0.402	+0.809	14	5	0.0562	0.0035	0.0068	0.0019	0.0022	0.0034	
GD 378C	18 23 50.120	+41 06 43.94	11.771	+0.612	+0.137	+0.355	+0.339	+0.697	10	4	0.0008	0.0006	0.0009	0.0004	0.0014	0.0014	
SA 38-177	18 47 34.575	+45 10 53.55	10.850	+0.442	+0.015	+0.270	+0.262	+0.533	12	7	0.0005	0.0005	0.0025	0.0010	0.0010	0.0012	
SA 38-178	18 47 35.701	+45 10 34.03	12.405	+0.724	+0.175	+0.430	+0.416	+0.845	12	6	0.0009	0.0009	0.0028	0.0010	0.0007	0.0006	
SA 38-326	18 47 40.515	+45 24 39.37	9.947	+0.287	+0.071	+0.171	+0.193	+0.349	8	4	0.0007	0.0016	0.0013	0.0018	0.0007	0.0006	
SA 38-358	18 48 23.004	+45 23 22.35	9.854	+1.132	+1.186	+0.583	+0.509	+1.095	9	4	0.0006	0.0015	0.0025	0.0018	0.0008	0.0012	
SA 38-365	18 48 32.505	+45 25 10.85	11.625	+1.205	+1.309	+0.616	+0.546	+1.160	8	4	0.0006	0.0014	0.0006	0.0005	0.0006	0.0010	
SA 38-375	18 48 47.091	+45 24 19.78	11.556	+0.584	+0.086	+0.326	+0.312	+0.643	4	2	0.0013	0.0014	0.0007	0.0013	0.0012	0.0007	
SA 38-377	18 48 47.755	+45 20 23.44	10.451	+0.967	+0.778	+0.521	+0.458	+0.976	4	2	0.0006	0.0007	0.0031	0.0025	0.0018	0.0018	
SA 38-382	18 48 53.856	+45 25 29.95	11.351	+0.586	+0.141	+0.329	+0.313	+0.645	4	2	0.0025	0.0006	0.0029	0.0006	0.0025	0.0018	
SA 38-253	18 49 04.397	+45 14 13.70	10.774	+0.357	+0.025	+0.223	+0.204	+0.428	9	4	0.0006	0.0005	0.0005	0.0005	0.0012	0.0006	
SA 38-391	18 49 07.115	+45 19 16.77	8.575	+1.266	+1.441	+0.658	+0.577	+1.235	2	1	0.0014	0.0021	0.0057	0.0035	0.0035	0.0007	
SA 38-269	18 49 37.723	+45 14 24.01	11.270	+1.157	+1.200	+0.620	+0.548	+1.168	9	4	0.0011	0.0012	0.0007	0.0007	0.0005	0.0007	
SA 38-270	18 49 40.787	+45 09 07.01	10.927	+0.289	+0.085	+0.164	+0.173	+0.320	10	5	0.0016	0.0012	0.0025	0.0007	0.0007	0.0005	
SA 38-273	18 49 46.591	+45 13 32.23	10.871	+1.269	+1.285	+0.675	+0.617	+1.298	9	4	0.0006	0.0006	0.0015	0.0010	0.0005	0.0007	
SA 38-137	18 50 24.265	+45 06 09.47	13.517	+0.736	+0.317	+0.411	+0.370	+0.785	7	4	0.0013	0.0014	0.0014	0.0035	0.0040	0.0007	
SA 38-138	18 50 25.534	+45 06 06.38	14.319	+0.714	+0.270	+0.388	+0.369	+0.762	9	5	0.0016	0.0018	0.0065	0.0014	0.0014	0.0027	
SA 38-297	18 50 27.011	+45 07 55.90	14.395	+0.610	+0.137	+0.346	+0.350	+0.696	2	1	0.0021	0.0007	0.0226	0.0042	0.0014	0.0035	
SA 38-298	18 50 31.101	+45 09 37.03	15.221	+0.594	+0.116	+0.386	+0.361	+0.749	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 38-302	18 50 33.197	+45 10 43.05	15.461	+0.932	+0.530	+0.528	+0.430	+0.955	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 38-303	18 50 34.221	+45 07 26.48	15.062	+0.618	+0.093	+0.334	+0.413	+0.746	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 38-304	18 50 36.293	+45 09 06.83	14.514	+0.595	+0.068	+0.294	+0.364	+0.657	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 38-149	18 50 41.729	+45 06 37.02	15.186	+0.639	+0.110	+0.339	+0.317	+0.657	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 38-309	18 50 45.291	+45 07 42.19	12.798	+0.682	+0.195	+0.383	+0.372	+0.753	7	4	0.0038	0.0023	0.0083	0.0023	0.0038	0.0023	
SA 38-156	18 50 46.158	+45 05 52.97	15.358	+0.579	-0.069	+0.356	+0.368	+0.712	12	7	0.0007	0.0031	0.0027	0.0036	0.0039	0.0087	
SA 38-157	18 50 46.519	+45 06 11.51	15.213	+1.036	+0.831	+0.570	+0.523	+1.094	9	5	0.0012	0.0019	0.0086	0.0007	0.0037	0.0033	
SA 38-310	18 50 48.873	+45 08 43.50	10.489	+1.259	+1.407	+0.651	+0.555	+1.212	11	6	0.0005	0.0005	0.0005	0.0006	0.0005	0.0006	
SA 38-312	18 50 50.491	+45 09 36.42	12.171	+1.290	+1.187	+0.706	+0.666	+1.374	9	5	0.0007	0.0023	0.0022	0.0007	0.0009	0.0007	
GD 391F	20 29 37.183	+39 17 17.58	12.500	+0.544	+0.048	+0.329	+0.331	+0.660	10	5	0.0011	0.0023	0.0026	0.0012	0.0007	0.0014	
GD 391E	20 29 43.642	+39 17 17.98	12.409	+0.560	+0.043	+0.326	+0.314	+0.642	14	7	0.0007	0.0008	0.0020	0.0008	0.0012	0.0010	
GD 391H	20 29 45.496	+39 18 14.26	14.365	+0.723	+0.183	+0.417	+0.396	+0.814	8	4	0.0007	0.0006	0.0042	0.0016	0.0069	0.0068	
GD 391G	20 29 45.987	+39 16 34.95	13.675	+0.800	+0.314	+0.451	+0.440	+0.893	8	4	0.0016	0.0023	0.0134	0.0016	0.0020	0.0008	
GD 391B	20 29 51.196	+39 14 20.33	12.710	+0.580	+0.200	+0.344	+0.352	+0.696	16	9	0.0004	0.0015	0.0028	0.0007	0.0015	0.0012	
GD 391D	20 29 54.035	+39 13 43.44	15.012	+0.994	+0.481	+0.570	+0.549	+1.125	14	7	0.0045	0.0025	0.0097	0.0033	0.0057	0.0066	
GD 391A	20 29 55.304	+39 14 13.08	12.315	+0.410	+0.205	+0.236	+0.261	+0.494	15	9	0.0017	0.0015	0.0020	0.0009	0.0009	0.0011	
GD 391	20 29 56.177	+39 13 32.19	13.378	-0.151	-0.972	-0.120	-0.136	-0.256	27	13	0.0005	0.0011	0.0017	0.0009	0.0018	0.0018	
GD 391C	20 30 02.922	+39 15 03.75	11.463	+0.760	+0.608	+0.448	+0.497	+0.937	12	6	0.0012	0.0009	0.0037	0.0010	0.0008	0.0007	
SA 41-620	21 53 11.306	+45 36 21.13	14.176	+0.770	+0.305	+0.468	+0.475	+0.940	2	1	0.0071	0.0049	0.0099	0.0085	0.0057	0.0028	
SA 41-626	21 53 17.263	+45 37 24.48	14.058	+0.911	+0.687	+0.509	+0.451	+0.954	2	1	0.0057	0.0035	0.0460	0.0078	0.0035	0.0035	
