Name	RA	Dec	V_ref	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
PG1323-086B	13 25 50.651	-08 50 55.10	13.406	0.761	0.265	0.426	0.407	0.833	23	13	0.0019	0.0029	0.0042	0.0023	0.0023	0.0031	
PG1323-086D	13 26 05.252	-08 50 36.19	12.08	0.587	0.005	0.346	0.335	0.684	15	6	0.0023	0.0018	0.0036	0.0013	0.0026	0.0031	
G14 55	13 28 21.082	-02 21 37.07	11.336	1.491	1.157	1.078	1.388	2.462	5	2	0.0058	0.0049	0.0076	0.0067	0.0013	0.0063	
105 505	13 35 24.773	-00 23 20.74	10.27	1.422	1.218	0.91	0.861	1.771	6	3	0.0061	0.0102	0.0053	0.0053	0.0033	0.0069	
105 437	13 37 16.748	-00 37 56.33	12.535	0.248	0.067	0.136	0.143	0.279	7	3	0.006	0.0038	0.0094	0.0053	0.0026	0.0076	
105 815	13 40 02.492	-00 02 18.76	11.451	0.381	-0.247	0.267	0.292	0.559	61	51	0.0008	0.0007	0.001	0.0005	0.0005	0.0006	
BD +2 2711	13 42 19.004	+01 30 18.68	10.369	-0.163	-0.699	-0.072	-0.095	-0.168	94	78	0.0007	0.0006	0.0011	0.0005	0.0006	0.0008	
32376437	13 42 23.215	+01 30 25.71	10.584	0.499	0.005	0.304	0.301	0.606	10	8	0.0016	0.0016	0.0028	0.0006	0.0009	0.0016	
HD 121968	13 58 51.167	-02 54 52.33	10.256	-0.185	-0.915	-0.074	-0.1	-0.173	90	75	0.0006	0.0006	0.001	0.0004	0.0005	0.0006	
PG1407-013B	14 10 24.181	-01 27 16.52	12.471	0.97	0.665	0.537	0.505	1.037	17	10	0.0013	0.0016	0.002	0.0012	0.0012	0.0016	
PG1407-013	14 10 25.915	-01 30 16.61	13.758	-0.259	-1.133	-0.119	-0.151	-0.272	21	12	0.0012	0.0017	0.0033	0.0015	0.0033	0.0043	
PG1407-013C	14 10 28.013	-01 25 03.05	12.462	0.805	0.298	0.464	0.448	0.914	17	10	0.0015	0.0013	0.0031	0.001	0.0016	0.0014	
PG1407-013A	14 10 29.547	-01 29 10.18	14.661	1.151	1.049	0.617	0.569	1.178	21	10	0.0023	0.003	0.0116	0.0018	0.0018	0.0034	
PG1407-013D	14 10 34.083	-01 27 14.00	14.872	0.891	0.42	0.496	0.472	0.967	14	9	0.0024	0.0026	0.0104	0.002	0.0058	0.0063	
PG1407-013E	14 10 35.721	-01 26 31.42	15.182	0.883	0.6	0.496	0.417	0.915	9	6	0.0036	0.0042	0.0144	0.0044	0.0068	0.0074	
106 1024	14 40 06.997	+00 01 45.11	11.599	0.332	0.085	0.196	0.195	0.39	35	27	0.0051	0.0022	0.0029	0.0019	0.0014	0.0029	
106 700	14 40 50.944	-00 23 36.82	9.786	1.364	1.58	0.73	0.643	1.374	88	77	0.0008	0.0006	0.0014	0.0005	0.0006	0.0008	
106 575	14 41 38.499	-00 26 01.82	9.341	1.306	1.485	0.676	0.587	1.268	39	30	0.0007	0.0007	0.0027	0.0005	0.0005	0.0006	
106 485	14 44 14.083	-00 37 06.69	9.477	0.378	-0.052	0.233	0.236	0.468	47	36	0.0009	0.0007	0.001	0.0004	0.0004	0.0006	
PG1514+034	15 17 14.269	+03 10 27.92	13.997	-0.009	-0.955	0.087	0.126	0.212	6	3	0.0078	0.0082	0.0102	0.0029	0.0065	0.0073	
PG1525-071	15 28 11.57	-07 16 32.7	15.046	-0.211	-1.177	-0.068	0.012	-0.151	20	13	0.0027	0.0005	0.0027	0.002	0.002	0.0071	
PG1525-071D	15 28 12.00	-07 16 39.1	16.3	0.393	0.224	0.405	0.343	0.756	15	8	0.0021	0.0714	0.0316	0.0108	0.0196	0.0085	
PG1525-071A	15 28 13.416	-07 16 01.03	13.506	0.773	0.282	0.437	0.421	0.862	15	8	0.0008	0.0015	0.0019	0.0006	0.0024	0.0026	
PG1525-071B	15 28 14.39	-07 16 13.2	16.392	0.729	0.141	0.45	0.387	0.906	17	8	0.0039	0.0043	0.0097	0.0037	0.0066	0.0066	
PG1525-071C	15 28 16.502	-07 14 30.36	13.519	1.116	1.073	0.593	0.509	1.096	16	9	0.0007	0.0028	0.0052	0.001	0.0015	0.0012	
PG1528+062B	15 30 39.542	+06 01 12.98	11.989	0.593	0.005	0.364	0.344	0.711	1	1	nan	nan	nan	nan	nan	nan	
PG1528+062A	15 30 49.092	+06 01 24.09	15.553	0.83	0.356	0.433	0.389	0.824	1	1	nan	nan	nan	nan	nan	nan	
PG1528+062	15 30 49.93	+06 00 56.2	14.767	-0.252	-1.091	-0.111	-0.182	-0.296	1	1	nan	nan	nan	nan	nan	nan	
PG1528+062C	15 30 55.616	+06 00 09.59	13.477	0.644	0.074	0.357	0.34	0.699	1	1	nan	nan	nan	nan	nan	nan	
PG1530+057A	15 33 10.224	+05 33 42.93	13.711	0.829	0.414	0.473	0.412	0.886	1	1	nan	nan	nan	nan	nan	nan	
PG1530+057	15 33 10.737	+05 32 26.88	14.211	0.151	-0.789	0.162	0.036	0.199	1	1	nan	nan	nan	nan	nan	nan	
PG1530+057B	15 33 17.446	+05 33 46.29	12.842	0.745	0.325	0.423	0.376	0.799	1	1	nan	nan	nan	nan	nan	nan	
SA 107 212	15 38 56.067	-00 45 31.71	13.383	0.683	0.135	0.404	0.411	0.818	2	1	0.0064	0.0106	0.0198	0.0071	0.0085	0.0148	
SA 107 215	15 38 57.650	-00 43 06.59	16.046	0.115	-0.082	-0.032	-0.475	-0.511	3	2	0.0266	0.0312	0.0092	0.0935	0.2991	0.3943	
SA 107 213	15 38 57.671	-00 44 15.06	14.262	0.802	0.261	0.531	0.509	1.038	1	1	nan	nan	nan	nan	nan	nan	
SA 107 347	15 38 35.770	-00 35 57.69	9.446	1.294	1.302	0.712	0.652	1.365	33	26	0.0011	0.0009	0.0015	0.0007	0.0007	0.0011	
SA 107 351	15 38 45.760	-00 32 06.30	12.342	0.562	-0.005	0.351	0.358	0.708	25	14	0.002	0.0024	0.004	0.0016	0.0022	0.0026	
SA 107 456	15 38 42.735	-00 19 47.02	12.919	0.921	0.589	0.537	0.478	1.015	20	10	0.002	0.0029	0.0045	0.002	0.0025	0.0036	
SA 107 457	15 38 46.763	-00 20 15.17	14.91	0.792	0.35	0.494	0.469	0.964	2	1	0.0021	0.0035	0.0099	0.0028	0.0064	0.0092	
SA 107 458	15 38 50.219	-00 24 26.45	11.676	1.214	1.189	0.667	0.602	1.274	2	1	0.0042	0.0057	0.0049	0.0028	0.0007	0.0035	
SA 107 459	15 38 50.812	-00 22 33.77	12.284	0.9	0.427	0.525	0.517	1.045	2	1	0.0014	0.0106	0.0099	0.0028	0.0007	0.0035	
SA 107 357	15 39 05.469	-00 39 12.16	14.418	0.675	0.025	0.416	0.421	0.84	2	1	nan	0.0035	0.0057	0.012	0.0233	0.0113	
SA 107 359	15 39 09.04	-00 35 38.6	12.797	0.58	-0.124	0.379	0.381	0.759	6	3	0.0049	0.0069	0.0118	0.0029	0.0033	0.0053	
SA 107 544	15 36 48.097	-00 15 07.07	9.036	0.399	0.156	0.232	0.227	0.458	54	39	0.001	0.0006	0.0011	0.0006	0.0006	0.0008	
SA 107 568	15 37 52.713	-00 17 17.51	13.054	1.149	0.862	0.625	0.595	1.217	15	7	0.0015	0.0028	0.0039	0.0021	0.0028	0.0028	
SA 107 592	15 38 50.382	-00 17 09.17	11.847	1.318	1.38	0.709	0.647	1.357	9	5	0.0033	0.0047	0.0133	0.0013	0.0023	0.002	
SA 107 599	15 39 09.457	-00 14 28.74	14.675	0.698	0.243	0.433	0.438	0.869	17	7	0.0082	0.0121	0.0061	0.0053	0.0121	0.0155	
SA 107 600	15 39 10.065	-00 15 51.15	14.884	0.503	0.049	0.339	0.361	0.7	9	4	0.017	0.013	0.0227	0.0097	0.0147	0.0203	
SA 107 601	15 39 13.88	-00 13 28.0	14.646	1.412	1.265	0.923	0.835	1.761	33	13	0.0045	0.0073	0.0247	0.0035	0.0031	0.0038	
SA 107 602	15 39 18.878	-00 15 29.94	12.116	0.991	0.585	0.545	0.531	1.074	17	9	0.0027	0.0029	0.007	0.0015	0.0022	0.0032	
SA 107 611	15 39 35.077	-00 12 35.76	14.329	0.89	0.455	0.52	0.447	0.968	4	2	0.0065	0.0085	0.0165	0.009	0.0105	0.017	
SA 107 612	15 39 35.427	-00 15 07.45	14.256	0.896	0.296	0.551	0.53	1.081	2	1	0.0057	0.0014	0.0035	0.0035	0.0007	0.0021	
SA 107 614	15 39 41.132	-00 13 10.80	13.926	0.622	0.033	0.361	0.37	0.732	4	2	0.0065	0.017	0.015	0.004	0.013	0.009	
SA 107 626	15 40 05.349	-00 17 28.95	13.468	1	0.728	0.6	0.527	1.126	24	12	0.0045	0.0082	0.0118	0.0024	0.0022	0.0035	
SA 107 627	15 40 07.462	-00 17 22.68	13.349	0.779	0.226	0.465	0.454	0.918	24	12	0.0055	0.0047	0.0049	0.0022	0.0027	0.0037	
SA 107 484	15 40 16.818	-00 21 14.93	11.311	1.24	1.298	0.664	0.577	1.24	26	20	0.0006	0.0015	0.0038	0.0006	0.0008	0.0016	
SA 107 636	15 40 40.488	-00 14 53.10	14.873	0.751	0.121	0.432	0.465	0.896	2	1	0.0134	0.012	0.0177	0.0085	0.0417	0.0325	
SA 107 639	15 40 44.767	-00 17 10.24	14.197	0.64	-0.026	0.399	0.404	0.803	10	6	0.0161	0.0092	0.0202	0.0104	0.0095	0.0126	
SA 107 640	15 40 49.150	-00 16 47.53	15.05	0.755	0.092	0.511	0.506	1.017	5	3	0.025	0.0103	0.0322	0.0183	0.0161	0.0246	
SA 107 720	15 38 36.978	-00 02 24.92	13.121	0.599	0.088	0.374	0.355	0.731	2	1	0.0057	0.0028	0.0106	0.0099	0.0028	0.0078	
SA 108 870	16 37 45.814	-00 28 23.75	11.856	+1.218	+1.168	+0.679	+0.608	+1.288	4	2	0.0015	0.0015	0.0060	0.0005	0.0015	0.0005	
SA 107 1006	15 38 33.353	+00 14 19.11	11.713	0.766	0.278	0.442	0.42	0.863	81	72	0.0006	0.0009	0.0018	0.0005	0.0007	0.0008	
G153 41	16 17 55.241	-15 35 52.15	13.425	-0.21	-1.129	-0.133	-0.158	-0.289	39	27	0.0015	0.0016	0.0026	0.001	0.0023	0.0025	
G138 25	16 25 13.952	+15 40 54.25	13.513	1.419	1.265	0.883	0.796	1.685	2	1	0.0007	0.0177	0.0382	0.0028	0.0028	0.0049	
BD -12 4523	16 30 18.059	-12 39 45.34	10.072	1.566	1.195	1.155	1.499	2.651	16	13	0.0021	0.0005	0.0019	0.0005	0.0016	0.0013	
HD 149382	16 34 23.333	-04 00 52.02	8.943	-0.282	-1.143	-0.127	-0.135	-0.262	57	48	0.0008	0.0008	0.0022	0.0004	0.0007	0.0008	
SA 108 1332	16 35 21.401	-00 04 05.32	9.208	0.38	0.083	0.225	0.225	0.449	76	60	0.0005	0.0007	0.001	0.0004	0.0003	0.0005	
PG1633+099	16 35 24.025	+09 47 49.90	14.396	-0.191	-0.99	-0.085	-0.114	-0.208	20	11	0.0016	0.0021	0.0031	0.0026	0.0085	0.0107	
PG1633+099A	16 35 25.984	+09 47 53.19	15.259	0.871	0.305	0.506	0.506	1.011	23	10	0.0032	0.0042	0.0037	0.0033	0.0078	0.0099	
PG1633+099G	16 35 32.336	+09 50 30.74	13.749	0.693	0.079	0.412	0.389	0.804	15	8	0.0016	0.0012	0.0044	0.0012	0.0015	0.0023	
PG1633+099B	16 35 33.304	+09 46 20.71	12.968	1.081	1.017	0.589	0.503	1.09	18	10	0.0016	0.0013	0.0051	0.001	0.0013	0.0019	
PG1633+099F	16 35 36.713	+09 49 40.34	13.768	0.878	0.254	0.523	0.522	1.035	15	8	0.002	0.0024	0.0048	0.0013	0.0022	0.0028	
PG1633+099C	16 35 37.275	+09 46 15.80	13.224	1.144	1.146	0.612	0.524	1.133	17	10	0.0017	0.0008	0.0022	0.001	0.0014	0.0027	
PG1633+099D	16 35 40.089	+09 46 41.57	13.689	0.535	-0.021	0.324	0.323	0.649	20	12	0.0016	0.0018	0.0028	0.0011	0.0018	0.002	
PG1633+099E	16 35 45.084	+09 49 24.53	13.113	0.841	0.337	0.484	0.471	0.953	16	9	0.0021	0.002	0.0037	0.0014	0.0018	0.0024	
108 719	16 36 11.047	-00 25 29.07	12.69	1.031	0.648	0.553	0.533	1.087	4	2	0.0045	0.0025	0.0005	0.0045	0.0025	0.005	
108 475	16 37 00.595	-00 34 39.17	11.307	1.38	1.463	0.743	0.664	1.408	113	98	0.0007	0.0006	0.0028	0.0004	0.0004	0.0007	
108 1491	16 37 13.934	-00 02 41.91	9.059	0.964	0.616	0.522	0.498	1.02	77	62	0.0006	0.0005	0.0012	0.0003	0.0004	0.0005	
108 551	16 37 47.788	-00 33 05.16	10.702	0.18	0.182	0.1	0.109	0.209	144	114	0.0006	0.0004	0.001	0.0004	0.0005	0.0006	
108 1918	16 37 50.129	-00 00 36.41	11.384	1.432	1.839	0.773	0.661	1.434	2	1	0.0007	0.0014	nan	0.0042	nan	0.0042	
108 981	16 39 16.614	-00 25 06.98	12.071	0.494	0.237	0.31	0.312	0.622	4	2	0.0025	0.0015	0.0075	0.002	0.003	0.001	
PG1647+056	16 50 18.461	+05 32 55.94	14.773	-0.173	-1.064	-0.058	-0.022	-0.082	7	3	0.0087	0.0087	0.0076	0.0102	0.0151	0.0163	
Wolf 629	16 55 25.223	-08 19 21.30	11.759	1.676	1.256	1.185	1.525	2.715	7	4	0.0042	0.003	0.0034	0.0017	0.0013	0.0013	
PG1657+078E	16 59 27.221	+07 44 01.26	14.486	0.787	0.284	0.436	0.413	0.851	4	2	0.002	0.013	0.0095	0.002	0.0105	0.0105	
PG1657+078B	16 59 31.979	+07 42 07.34	14.724	0.697	0.039	0.417	0.42	0.838	8	4	0.0016	0.0036	0.0041	0.0014	0.0014	0.0014	
PG1657+078	16 59 32.216	+07 43 31.43	15.019	-0.142	-0.958	-0.079	-0.058	-0.128	17	8	0.0036	0.0033	0.0042	0.0058	0.0243	0.0299	
PG1657+078A	16 59 33.207	+07 42 19.42	14.032	1.068	0.735	0.569	0.538	1.105	10	5	0.0007	0.0007	0.0054	0.0026	0.0005	0.0027	
PG1657+078C	16 59 35.270	+07 42 26.51	15.225	0.837	0.382	0.504	0.442	0.965	5	2	0.0019	0.002	0.0082	0.0044	0.012	0.007	
BD -4 4226	17 05 13.783	-05 05 39.21	10.071	1.415	1.085	0.97	1.141	2.113	6	3	0.0033	0.0012	0.0029	0.0004	0.0008	0.0012	
109 71	17 44 06.792	-00 24 58.01	11.49	0.326	0.154	0.187	0.223	0.409	65	56	0.0007	0.0006	0.0014	0.0006	0.0007	0.0009	
109 381	17 44 12.269	-00 20 32.80	11.731	0.704	0.222	0.427	0.435	0.862	70	57	0.0008	0.001	0.0012	0.0004	0.0006	0.0008	
109 949	17 44 13.616	-00 02 28.02	12.828	0.806	0.363	0.5	0.517	1.02	2	1	0.0064	0.0007	0.0099	0.0078	0.0035	0.0113	
109 956	17 44 14.54	-00 02 07.7	14.639	1.283	0.858	0.779	0.743	1.525	2	1	0.0113	0.0198	0.0035	0.0184	0.0156	0.0346	
109 954	17 44 15.844	-00 02 16.07	12.436	1.296	0.956	0.764	0.731	1.496	9	5	0.0093	0.006	0.0203	0.0017	0.0027	0.0033	
109 199	17 45 02.635	-00 29 28.71	10.99	1.739	1.967	1.006	0.9	1.904	3	2	0.0098	0.004	0.0035	0.0035	0.004	0.0046	
109 231	17 45 19.964	-00 25 51.60	9.333	1.465	1.591	0.787	0.705	1.494	90	65	0.0008	0.0008	0.0023	0.0004	0.0005	0.0006	
109 537	17 45 42.448	-00 21 35.43	10.353	0.609	0.226	0.376	0.393	0.769	76	55	0.0022	0.001	0.0017	0.0008	0.0008	0.0013	
G21 15	18 27 13.08	+04 03 46.7	13.889	0.092	-0.598	-0.039	-0.03	-0.069	19	9	0.0046	0.0053	0.0067	0.0046	0.0094	0.0094	
110 229	18 40 45.662	+00 01 49.78	13.649	1.91	1.391	1.198	1.155	2.356	30	16	0.0031	0.0091	0.0225	0.0018	0.002	0.0026	
110 230	18 40 51.489	+00 02 23.28	14.281	1.084	0.728	0.624	0.596	1.218	21	11	0.0031	0.005	0.0116	0.002	0.0044	0.005	
110 232	18 40 52.340	+00 01 54.78	12.516	0.729	0.147	0.439	0.45	0.889	28	16	0.0032	0.0028	0.0045	0.0015	0.0019	0.0025	
110 233	18 40 52.709	+00 00 50.85	12.771	1.281	0.812	0.773	0.818	1.593	22	10	0.0028	0.0034	0.007	0.0021	0.0015	0.0021	
110 340	18 41 28.448	+00 15 23.00	10.025	0.308	0.124	0.171	0.183	0.354	111	92	0.0008	0.0006	0.0014	0.0004	0.0006	0.0007	
110 477	18 41 43.200	+00 26 42.78	13.988	1.345	0.715	0.85	0.857	1.707	21	11	0.0072	0.0131	0.0375	0.0031	0.0039	0.0063	
110 246	18 41 50.757	+00 05 04.51	12.706	0.586	-0.129	0.381	0.41	0.79	1	1	nan	nan	nan	nan	nan	nan	
110 346	18 41 55.208	+00 09 58.39	14.757	0.999	0.752	0.697	0.646	1.345	1	1	nan	nan	nan	nan	nan	nan	
110 349	18 42 13.409	+00 10 15.21	15.095	1.088	0.668	0.503	-0.059	0.477	1	1	nan	nan	nan	nan	nan	nan	
110 355	18 42 18.933	+00 08 24.22	11.944	1.023	0.504	0.652	0.727	1.378	16	8	0.0027	0.003	0.0045	0.0022	0.0022	0.0035	
110 358	18 42 35.516	+00 15 01.97	14.43	1.039	0.418	0.603	0.543	1.15	1	1	nan	nan	nan	nan	nan	nan	
110 360	18 42 40.477	+00 09 10.71	14.618	1.197	0.539	0.715	0.717	1.432	5	2	0.0094	0.0192	0.0291	0.0085	0.0031	0.008	
110 361	18 42 45.010	+00 08 04.70	12.425	0.632	0.035	0.361	0.348	0.709	30	17	0.0022	0.0022	0.0029	0.0018	0.002	0.0029	
110 362	18 42 48.277	+00 06 27.77	15.693	1.333	3.919	0.918	0.885	1.803	1	1	nan	nan	nan	nan	nan	nan	
110 266	18 42 48.798	+00 05 06.44	12.018	0.889	0.411	0.538	0.577	1.111	8	3	0.0014	0.0028	0.0039	0.0014	0.0021	0.0032	
110 L1	18 42 50.187	+00 07 12.76	16.252	1.752	2.953	1.066	0.992	2.058	1	1	nan	nan	nan	nan	nan	nan	
110 364	18 42 52.785	+00 07 54.89	13.615	1.133	1.095	0.697	0.585	1.281	15	7	0.0021	0.0067	0.0088	0.0015	0.0026	0.0021	
110 157	18 42 56.472	-00 08 58.45	13.491	2.123	1.679	1.257	1.139	2.395	7	3	0.0057	0.0257	0.175	0.0034	0.0049	0.0057	
110 365	18 42 57.444	+00 07 23.12	13.47	2.261	1.895	1.36	1.27	2.631	45	20	0.0027	0.0091	0.0313	0.0021	0.0022	0.0034	
110 496	18 42 59.294	+00 31 09.13	13.004	1.04	0.737	0.607	0.681	1.287	9	4	0.0027	0.006	0.023	0.002	0.0023	0.0043	
110 273	18 42 59.542	+00 02 23.92	14.686	2.527	1	1.509	1.345	2.856	5	2	0.0161	0.0783	1.3416	0.004	0.0103	0.0107	
110 497	18 43 02.506	+00 30 56.79	14.196	1.052	0.38	0.606	0.597	1.203	5	2	0.0054	0.0063	0.0143	0.0067	0.0045	0.0063	
110 280	18 43 06.960	-00 03 41.52	12.996	2.151	2.133	1.235	1.148	2.384	25	12	0.0034	0.0144	0.0906	0.0018	0.003	0.0036	
110 499	18 43 07.663	+00 28 01.47	11.737	0.987	0.639	0.6	0.674	1.273	23	13	0.0031	0.0029	0.0071	0.0019	0.0017	0.0029	
110 502	18 43 10.111	+00 27 42.37	12.33	2.326	2.326	1.373	1.25	2.625	38	19	0.0031	0.0047	0.0225	0.0019	0.0024	0.0041	
110 503	18 43 11.696	+00 29 42.95	11.773	0.671	0.506	0.373	0.436	0.808	26	14	0.0031	0.002	0.0051	0.0018	0.0016	0.0022	
110 504	18 43 11.712	+00 30 04.57	14.022	1.248	1.323	0.797	0.683	1.482	5	2	0.0013	0.0063	0.0268	0.0036	0.0063	0.008	
110 506	18 43 18.927	+00 30 27.14	11.312	0.568	0.059	0.335	0.312	0.652	2	1	0.0021	0.0021	0.0064	0.0007	0.0042	0.0042	
110 507	18 43 19.126	+00 29 26.00	12.44	1.141	0.83	0.633	0.579	1.206	2	1	0.0049	0.0057	0.0057	0.0042	nan	0.0049	
110 290	18 43 22.132	-00 01 15.40	11.898	0.708	0.196	0.418	0.418	0.836	3	2	0.0029	0.0006	0.0046	0.0023	0.0029	0.0035	
110 441	18 43 33.607	+00 19 40.72	11.122	0.556	0.108	0.325	0.335	0.66	84	74	0.0006	0.0005	0.0011	0.0005	0.0006	0.0009	
110 311	18 43 47.512	-00 00 20.63	15.505	1.796	1.179	1.01	0.864	1.874	4	2	0.018	0.036	0.1255	0.034	0.083	0.113	
110 312	18 43 48.928	+00 00 06.03	16.093	1.319	-0.788	1.137	1.154	2.293	1	1	nan	nan	nan	nan	nan	nan	
110 450	18 43 51.474	+00 22 58.46	11.583	0.946	0.683	0.549	0.626	1.175	93	83	0.0006	0.0007	0.0017	0.0006	0.0007	0.001	
110 315	18 43 52.079	+00 00 49.33	13.637	2.069	2.256	1.206	1.133	2.338	8	4	0.0067	0.0361	0.4639	0.0032	0.0057	0.0067	
110 316	18 43 52.342	+00 01 04.22	14.821	1.731	4.355	0.858	0.91	1.769	1	1	nan	nan	nan	nan	nan	nan	
110 319	18 43 55.376	+00 02 00.32	11.861	1.309	1.076	0.742	0.7	1.443	3	2	0.011	0.0029	0.0035	0.004	0.0017	0.0058	
111 773	19 37 15.832	+00 10 58.24	8.965	0.209	-0.209	0.121	0.145	0.265	80	61	0.0009	0.0006	0.0003	0.0004	0.0006	0.0006	
111 775	19 37 16.357	+00 12 05.56	10.748	1.741	2.017	0.965	0.897	1.863	79	66	0.001	0.0007	0.0037	0.0006	0.0005	0.0009	
111 1925	19 37 28.639	+00 25 02.74	12.387	0.396	0.264	0.226	0.256	0.483	30	17	0.0015	0.0012	0.0038	0.0005	0.001	0.0009	
111 1965	19 37 41.557	+00 26 50.94	11.419	1.71	1.865	0.951	0.877	1.83	16	8	0.0018	0.0037	0.009	0.001	0.001	0.0012	
111 1969	19 37 43.288	+00 25 48.55	10.382	1.959	2.306	1.177	1.222	2.4	58	47	0.0017	0.0014	0.0054	0.0008	0.0009	0.0013	
111 2039	19 38 04.578	+00 32 12.54	12.395	1.369	1.237	0.739	0.689	1.43	8	4	0.0021	0.0028	0.012	0.0021	0.0021	0.0021	
111 2088	19 38 21.254	+00 31 00.26	13.193	1.61	1.678	0.888	0.818	1.708	8	4	0.0014	0.0042	0.011	0.0018	0.0014	0.0018	
111 2093	19 38 23.462	+00 31 25.44	12.538	0.637	0.283	0.37	0.397	0.766	8	4	0.0025	0.0035	0.0071	0.0032	0.0021	0.0039	
112 595	20 41 18.463	+00 16 28.06	11.352	1.601	1.991	0.898	0.903	1.801	75	66	0.0014	0.0009	0.0035	0.0005	0.0007	0.0008	
112 704	20 42 02.066	+00 19 08.22	11.452	1.536	1.742	0.822	0.746	1.57	19	12	0.003	0.0023	0.0076	0.0021	0.0018	0.0025	
112 223	20 42 14.583	+00 08 59.70	11.424	0.454	0.016	0.273	0.274	0.547	87	79	0.0007	0.0006	0.0015	0.0005	0.0007	0.001	
112 250	20 42 26.386	+00 07 42.50	12.095	0.532	-0.025	0.317	0.323	0.639	18	12	0.0021	0.0019	0.0042	0.0019	0.0019	0.0026	
112 275	20 42 35.424	+00 07 20.22	9.905	1.21	1.294	0.648	0.569	1.217	113	98	0.0001	0.0004	0.0016	0.0004	0.0005	0.0007	
112 805	20 42 46.753	+00 16 08.08	12.086	0.151	0.158	0.064	0.075	0.139	95	86	0.0006	0.0007	0.0017	0.0006	0.0012	0.0016	
112 822	20 42 54.915	+00 15 01.90	11.548	1.03	0.883	0.558	0.502	1.06	70	61	0.0007	0.0008	0.0022	0.0005	0.0007	0.0008	
Mark A4	20 43 53.555	-10 45 05.17	14.767	0.795	0.176	0.471	0.475	0.952	22	11	0.002	0.003	0.004	0.0031	0.0036	0.0052	
Mark A2	20 43 54.998	-10 45 31.29	14.54	0.666	0.096	0.379	0.371	0.751	21	10	0.0028	0.0031	0.0046	0.0024	0.005	0.0059	
Mark A1	20 43 58.451	-10 47 12.27	15.911	0.609	-0.014	0.367	0.373	0.74	25	10	0.004	0.009	0.0136	0.0044	0.0128	0.0148	
Mark A	20 43 59.227	-10 47 41.68	13.256	-0.246	-1.159	-0.114	-0.124	-0.238	88	71	0.0008	0.0008	0.0021	0.0008	0.0027	0.0029	
Mark A3	20 44 03.82	-10 45 37.9	14.818	0.938	0.651	0.587	0.51	1.098	22	10	0.0023	0.0034	0.0104	0.0021	0.003	0.0045	
Wolf 918	21 09 17.431	-13 18 09.01	10.869	1.493	1.139	0.978	1.083	2.064	11	7	0.0021	0.0038	0.0051	0.0022	0.0025	0.003	
G26 7A	21 31 06.807	-09 46 35.55	13.047	0.725	0.279	0.405	0.371	0.776	17	9	0.0016	0.0017	0.0025	0.0016	0.002	0.0022	
G26 7	21 31 18.637	-09 47 26.44	12.006	1.664	1.231	1.298	1.669	2.968	25	12	0.0017	0.0006	0.0041	0.0011	0.0009	0.0015	
G26 7C	21 31 23.333	-09 50 46.60	12.468	0.624	0.093	0.354	0.34	0.695	12	6	0.0006	0.0013	0.0042	0.0005	0.001	0.001	
G26 7B	21 31 26.454	-09 47 23.47	13.454	0.562	0.027	0.323	0.327	0.652	16	9	0.0017	0.0021	0.0037	0.0018	0.0017	0.0029	
113 440	21 40 34.426	+00 41 46.92	11.796	0.637	0.167	0.363	0.35	0.715	2	1	0.0014	0.0014	0.0042	nan	0.0028	0.0021	
113 221	21 40 36.542	+00 21 03.31	12.071	1.031	0.874	0.55	0.49	1.041	24	10	0.0016	0.002	0.0055	0.0018	0.0014	0.0022	
113 L1	21 40 47.382	+00 28 34.96	15.53	1.343	1.18	0.867	0.723	1.594	2	1	0.0042	0.0509	0.1867	0.0049	0.0049	0.0007	
113 337	21 40 49.456	+00 27 58.01	14.225	0.519	-0.025	0.351	0.331	0.682	5	3	0.013	0.0058	0.0085	0.0072	0.0063	0.0116	
113 339	21 40 55.675	+00 27 58.07	12.25	0.568	-0.034	0.34	0.347	0.687	31	18	0.002	0.002	0.0038	0.0014	0.0016	0.0025	
113 233	21 40 59.227	+00 22 02.43	12.398	0.549	0.096	0.338	0.322	0.661	2	1	0.0021	0.0014	0.0007	nan	0.0007	0.0007	
113 342	21 40 59.843	+00 27 36.65	10.878	1.015	0.696	0.537	0.513	1.05	7	3	0.0015	0.0015	0.006	0.0019	0.0023	0.0049	
113 239	21 41 06.870	+00 22 33.87	13.038	0.516	0.051	0.318	0.327	0.647	2	1	0.0057	0.0028	0.0042	0.0014	0.0035	0.0049	
113 241	21 41 09.188	+00 25 48.20	14.352	1.344	1.452	0.897	0.797	1.683	22	9	0.0019	0.0032	0.0056	0.0012	0.0031	0.0038	
113 245	21 41 13.344	+00 21 52.76	15.665	0.628	0.112	0.396	0.318	0.716	2	1	0.0092	0.0099	0.0021	0.024	0.0106	0.0354	
113 459	21 41 14.979	+00 43 04.64	12.125	0.535	-0.018	0.307	0.313	0.623	4	2	0.007	0.0055	0.007	0.0055	0.006	0.0105	
113 250	21 41 24.583	+00 20 41.01	13.16	0.505	-0.003	0.309	0.316	0.626	4	2	0.0025	0.0025	0.0165	0.0035	0.0045	0.0045	
113 466	21 41 27.386	+00 40 15.56	10.003	0.453	0.003	0.279	0.283	0.564	109	91	0.0004	0.0004	0.0009	0.0003	0.0005	0.0007	
